gen,best,mean
0,76.0,18.266666666666666
1,228.33333333333334,19.333333333333332
2,155.33333333333334,21.466666666666665
3,131.66666666666666,19.944444444444446
4,341.0,48.6
5,500.0,59.477777777777774
6,351.3333333333333,47.8111111111111
7,120.66666666666667,34.044444444444444
8,467.6666666666667,71.16666666666667
9,492.6666666666667,92.68888888888888
10,290.0,74.74444444444445
11,369.3333333333333,80.95555555555556
12,456.3333333333333,139.05555555555557
13,500.0,123.75555555555555
14,500.0,82.03333333333333
15,406.3333333333333,67.3
16,277.3333333333333,64.27777777777777
17,286.3333333333333,60.24444444444444
18,500.0,116.02222222222223
19,445.3333333333333,87.93333333333334
20,202.0,66.01111111111112
21,500.0,86.7111111111111
22,500.0,118.2
23,500.0,149.43333333333334
24,500.0,209.04444444444445
25,500.0,268.76666666666665
26,500.0,291.5444444444445
27,500.0,275.8222222222222
28,500.0,198.03333333333333
29,500.0,301.85555555555555
