gen,best,mean
0,500.0,30.55333333333333
1,500.0,36.03333333333334
2,500.0,42.62
3,500.0,43.95333333333333
4,500.0,59.27333333333332
5,500.0,56.3
6,500.0,46.77333333333333
7,500.0,48.52666666666667
8,500.0,62.79999999999999
9,500.0,57.47999999999999
10,500.0,53.75999999999999
11,500.0,67.00666666666666
12,500.0,70.01333333333332
13,500.0,83.93333333333334
14,500.0,88.08
15,500.0,121.41333333333333
16,500.0,100.44
17,500.0,111.57333333333334
18,500.0,99.23333333333333
19,500.0,105.42
20,500.0,96.48666666666668
21,500.0,108.96000000000002
22,500.0,124.74
23,500.0,111.03333333333335
24,500.0,115.63333333333334
25,500.0,117.18
26,500.0,118.11333333333332
27,500.0,100.38
28,500.0,120.12666666666667
29,500.0,131.94
