gen,best,mean
0,-200.0,-200.0
1,-200.0,-200.0
2,-200.0,-200.0
3,-200.0,-200.0
4,-200.0,-200.0
5,-200.0,-200.0
6,-200.0,-200.0
7,-113.66666666666667,-198.27333333333337
8,-113.66666666666667,-198.27333333333337
9,-113.66666666666667,-198.27333333333337
10,-113.66666666666667,-198.27333333333337
11,-113.66666666666667,-198.27333333333337
12,-113.66666666666667,-198.27333333333337
13,-113.66666666666667,-198.27333333333337
14,-113.66666666666667,-198.27333333333337
15,-113.66666666666667,-198.27333333333337
16,-113.66666666666667,-198.27333333333337
17,-113.66666666666667,-198.27333333333337
18,-113.66666666666667,-198.27333333333337
19,-113.66666666666667,-198.27333333333337
20,-113.66666666666667,-198.27333333333337
21,-113.66666666666667,-198.27333333333337
22,-113.66666666666667,-198.27333333333337
23,-113.66666666666667,-198.27333333333337
24,-113.66666666666667,-197.36
25,-113.66666666666667,-197.36
26,-113.66666666666667,-197.36
27,-113.66666666666667,-197.36
28,-113.66666666666667,-197.36
29,-113.66666666666667,-197.36
