gen,best,mean,std,n_species,genome_size,n_hidden
0,-80.0,-441.7,125.87371537466518,1,18,0
1,-80.0,-428.7533333333333,133.42376616546912,1,18,0
2,-80.0,-441.80666666666673,126.21790839655044,1,18,0
3,-80.0,-431.64,126.79785907761482,1,18,0
4,-79.33333333333333,-402.3466666666667,151.23027268962318,1,18,0
5,-79.33333333333333,-429.6,143.5271712564868,1,18,0
6,-79.33333333333333,-448.5999999999999,119.43861277753616,1,18,0
7,-79.33333333333333,-417.40666666666664,146.61326740025194,1,18,0
8,-79.33333333333333,-423.30000000000007,135.6278609529276,1,18,0
9,-69.0,-423.07333333333327,143.42523085023933,1,18,0
10,-69.0,-444.52,126.42779511554323,1,18,0
11,-69.0,-424.04,138.94002926922585,1,18,0
12,-69.0,-453.84,113.94812152905374,1,18,0
13,-69.0,-450.76,121.27522491332586,1,18,0
14,-69.0,-442.2066666666667,128.41929398134326,1,18,0
15,-69.0,-452.84,110.99189640089347,1,18,0
16,-69.0,-435.0666666666667,130.0907546463024,1,18,0
17,-69.0,-409.54666666666674,147.545755765608,1,18,0
18,-69.0,-445.7466666666667,113.67246436826974,1,18,0
19,-69.0,-417.22,144.72429896569238,1,18,0
20,-69.0,-419.13333333333327,139.74926753932482,1,18,0
21,-69.0,-423.13333333333327,150.19459969578728,1,18,0
22,-69.0,-421.71333333333337,143.05655462865803,1,18,0
23,-69.0,-405.88,153.81372226025726,1,18,0
24,-69.0,-398.3466666666667,159.55681621290893,1,18,0
25,-69.0,-429.4933333333333,118.04515595501768,1,18,0
26,-69.0,-400.46,154.11483294392315,1,18,0
27,-69.0,-408.9133333333333,148.37684470443642,1,18,0
28,-69.0,-436.85333333333335,132.78634735711518,1,18,0
29,-69.0,-442.0,119.75693902419368,1,18,0
