gen,best,mean,std,n_species,genome_size,n_hidden
0,500.0,70.54666666666667,120.02303038259875,1,8,0
1,500.0,113.78666666666668,165.95162293739568,1,8,0
2,500.0,116.36666666666666,169.396474448424,1,8,0
3,500.0,148.65999999999997,166.7627121924376,1,8,0
4,500.0,134.0,158.51363768879108,1,8,0
5,500.0,172.19333333333333,178.87186090109932,1,8,0
6,500.0,215.7133333333333,204.74619529771218,1,8,0
7,500.0,207.07333333333335,193.6182187249491,1,8,0
8,500.0,143.97333333333333,181.01740665226401,1,8,0
9,500.0,243.64666666666665,218.32322022379773,1,8,0
10,500.0,250.2133333333333,216.96364016939697,1,8,0
11,500.0,217.09333333333333,212.78216341288257,1,8,0
12,500.0,246.0533333333333,216.32440002099727,1,8,0
13,500.0,256.49333333333334,214.16464320704293,1,8,0
14,500.0,274.2733333333333,209.5455261061689,1,8,0
15,500.0,298.9066666666667,219.21281430508475,1,8,0
16,500.0,205.02,210.8091860743581,1,8,0
17,500.0,178.95333333333335,184.0106036799691,1,8,0
18,500.0,252.5533333333333,207.57296559148654,1,8,0
19,500.0,206.0666666666667,186.62062527431894,1,8,0
20,500.0,210.3666666666667,201.99504119325968,1,8,0
21,500.0,204.18000000000004,204.4160160065742,1,8,0
22,500.0,270.44666666666666,200.09585047616,1,8,0
23,500.0,280.96666666666664,192.84332443146116,1,8,0
24,500.0,261.54,201.90308885425426,1,8,0
25,500.0,235.9933333333333,199.4911581443593,1,8,0
26,500.0,246.85333333333332,209.71659352564356,1,8,0
27,500.0,229.0066666666667,205.3842955156125,1,8,0
28,500.0,242.5066666666667,206.74579388439537,1,8,0
29,500.0,264.1066666666667,215.3494879389212,1,8,0
