gen,best,mean,std,n_species,genome_size,n_hidden
0,-200.0,-200.0,0.0,1,6,0
1,-190.33333333333334,-199.80666666666667,1.3533333333333322,1,6,0
2,-190.33333333333334,-199.80666666666667,1.3533333333333322,1,6,0
3,-190.33333333333334,-199.80666666666667,1.3533333333333322,1,6,0
4,-190.33333333333334,-199.80666666666667,1.3533333333333322,1,6,0
5,-190.33333333333334,-199.80666666666667,1.3533333333333322,1,6,0
6,-190.33333333333334,-199.80666666666667,1.3533333333333322,1,6,0
7,-190.33333333333334,-199.80666666666667,1.3533333333333322,1,6,0
8,-190.33333333333334,-199.80666666666667,1.3533333333333322,1,6,0
9,-147.66666666666666,-198.76,7.423398443061269,1,6,0
10,-147.66666666666666,-198.95333333333332,7.326666666666667,1,6,0
11,-147.66666666666666,-198.95333333333332,7.326666666666667,1,6,0
12,-147.66666666666666,-198.18,8.963930189623547,1,6,0
13,-118.66666666666667,-196.85333333333335,13.725104330710531,1,6,0
14,-118.66666666666667,-198.37333333333336,11.386666666666667,1,6,0
15,-118.66666666666667,-198.37333333333336,11.386666666666667,1,6,0
16,-115.0,-196.67333333333335,16.30139598657462,1,6,0
17,-115.0,-198.3,11.900000000000002,1,6,0
18,-115.0,-198.3,11.900000000000002,1,6,0
19,-115.0,-198.3,11.900000000000002,1,6,0
20,-115.0,-198.3,11.900000000000002,1,6,0
21,-115.0,-198.3,11.900000000000002,1,6,0
22,-115.0,-198.3,11.900000000000002,1,6,0
23,-115.0,-196.66666666666669,16.333333333333336,1,6,0
24,-115.0,-198.3,11.900000000000002,1,6,0
25,-115.0,-198.3,11.900000000000002,1,6,0
26,-115.0,-198.3,11.900000000000002,1,6,0
27,-115.0,-198.3,11.900000000000002,1,6,0
28,-115.0,-198.3,11.900000000000002,1,6,0
29,-115.0,-198.3,11.900000000000002,1,6,0
