gen,best,mean
0,128.66666666666666,15.593333333333335
1,385.3333333333333,27.5
2,168.0,25.78666666666667
3,192.33333333333334,20.94
4,47.666666666666664,12.866666666666667
5,235.0,20.80666666666667
6,211.0,16.76
7,122.33333333333333,14.82
8,50.666666666666664,12.466666666666667
9,193.33333333333334,20.26
10,75.0,14.453333333333333
11,256.3333333333333,25.76
12,78.66666666666667,16.293333333333333
13,57.0,16.006666666666668
14,134.33333333333334,19.153333333333336
15,127.33333333333333,18.1
16,197.0,18.1
17,45.666666666666664,13.08
18,70.33333333333333,15.159999999999998
19,88.66666666666667,14.34
20,46.666666666666664,12.393333333333333
21,181.66666666666666,15.966666666666665
22,51.666666666666664,13.44
23,89.66666666666667,16.686666666666667
24,85.0,17.106666666666666
25,148.0,19.78
26,163.66666666666666,21.766666666666666
27,500.0,29.64
28,93.66666666666667,14.353333333333332
29,53.666666666666664,14.486666666666665
